features.to_call_bb,features.effective_stack_bb,features.players_active,features.equity_win,features.equity_win_present,features.call_max_bb,features.call_margin_bb,features.pot_certain_bb,features.pot_probable_bb,features.pot_probable_margin_bb,features.ev_certain_bb,features.ev_probable_bb,features.bet_size_bb
1.0,100.0,6.0,0.194444,0.194444,1.6896503781239294,0.6896503781239294,8.0,13.0,12.0,0.555552,1.5277720000000001,1.0
1.0,100.0,6.0,0.8,0.8,148.00000000000003,147.00000000000003,38.0,43.0,42.0,29.400000000000002,33.4,1.0
0.0,100.0,6.0,0.158333,0.158333,1.1287100480356247,1.1287100480356247,6.0,6.0,6.0,0.949998,0.949998,0.0
1.0,100.0,6.0,0.181944,0.181944,6.67230605239739,5.67230605239739,31.0,36.0,35.0,4.640264,5.549984,1.0
1.0,100.0,6.0,0.8125,0.8125,156.0,155.0,37.0,42.0,41.0,29.0625,33.125,1.0
1.0,100.0,6.0,0.348611,0.348611,19.80169606794097,18.80169606794097,38.0,43.0,42.0,12.247218,13.990273,1.0
1.0,100.0,6.0,0.268056,0.268056,10.986742155137554,9.986742155137554,31.0,36.0,35.0,7.309736000000001,8.650016,1.0
1.0,100.0,6.0,0.025,0.025,0.4358974358974359,-0.5641025641025641,18.0,23.0,22.0,-0.55,-0.42499999999999993,1.0
1.0,100.0,6.0,0.304167,0.304167,7.431149428095535,6.431149428095535,18.0,23.0,22.0,4.4750060000000005,5.995841,1.0
1.0,100.0,6.0,0.329167,0.329167,3.4347877936833755,2.4347877936833755,8.0,13.0,12.0,1.633336,3.279171,1.0
1.0,100.0,6.0,0.545833,0.545833,13.220165709970122,12.220165709970122,12.0,17.0,16.0,5.549996,8.279161,1.0
0.0,100.0,6.0,0.066667,0.066667,0.4285737244906159,0.4285737244906159,6.0,6.0,6.0,0.400002,0.400002,0.0
0.0,100.0,6.0,0.293056,0.293056,6.6326271953648375,6.6326271953648375,16.0,16.0,16.0,4.688896,4.688896,0.0
0.0,100.0,6.0,0.0375,0.0375,0.1948051948051948,0.1948051948051948,5.0,5.0,5.0,0.1875,0.1875,0.0
0.0,100.0,6.0,0.208333,0.208333,1.0526294515244414,1.0526294515244414,4.0,4.0,4.0,0.833332,0.833332,0.0
1.0,100.0,6.0,0.540278,0.540278,45.83387786531861,44.83387786531861,40.0,45.0,44.0,20.61112,23.312510000000003,1.0
1.0,100.0,6.0,0.180556,0.180556,1.5423775145098382,0.5423775145098382,8.0,13.0,12.0,0.44444799999999995,1.3472279999999999,1.0
0.0,100.0,6.0,0.122222,0.122222,0.6962010895693445,0.6962010895693445,5.0,5.0,5.0,0.61111,0.61111,0.0
0.0,100.0,6.0,0.144444,0.144444,2.701288986343384,2.701288986343384,16.0,16.0,16.0,2.311104,2.311104,0.0
1.0,100.0,6.0,0.2,0.2,1.25,0.25,6.0,11.0,10.0,0.20000000000000018,1.2000000000000002,1.0
0.0,100.0,6.0,0.091667,0.091667,0.6055070111952334,0.6055070111952334,6.0,6.0,6.0,0.550002,0.550002,0.0
0.0,100.0,6.0,0.333333,0.333333,12.499981250009377,12.499981250009377,25.0,25.0,25.0,8.333325,8.333325,0.0
1.0,100.0,6.0,0.175,0.175,1.0606060606060606,0.06060606060606055,6.0,11.0,10.0,0.04999999999999982,0.9249999999999998,1.0
1.0,100.0,6.0,0.194444,0.194444,6.517222887049442,5.517222887049442,28.0,33.0,32.0,4.444432,5.416652,1.0
1.0,100.0,6.0,0.136111,0.136111,5.987132606156578,4.987132606156578,39.0,44.0,43.0,4.3083290000000005,4.9888840000000005,1.0
1.0,100.0,6.0,0.518056,0.518056,31.172966153744,30.172966153744,30.0,35.0,34.0,14.54168,17.13196,1.0
0.0,100.0,6.0,0.0875,0.0875,0.4794520547945206,0.4794520547945206,5.0,5.0,5.0,0.4375,0.4375,0.0
